,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,75,CL,1566684707,75,-53.16,-70.91,44.6,10.29
1,Mataura,50,NZ,1566684709,92,-46.19,168.86,48.0,5.99
2,Tasiilaq,97,GL,1566684711,75,65.61,-37.64,44.6,6.93
3,Kungurtug,94,RU,1566684712,87,50.6,97.53,39.98,0.49
4,Surazh,32,RU,1566684713,83,53.01,32.39,57.8,2.84
5,Yelizovo,75,RU,1566684715,87,53.19,158.38,51.8,4.47
6,Bathsheba,75,BB,1566684511,74,13.22,-59.52,84.2,17.22
7,Cabo San Lucas,75,MX,1566684646,78,22.89,-109.91,90.0,3.36
8,Suraabad,0,AZ,1566684720,73,40.82,49.47,75.2,6.93
9,Abhaynagar,100,BD,1566684722,90,23.01,89.4,78.86,8.37
10,Kruisfontein,0,ZA,1566684723,67,-34.0,24.73,55.82,5.44
11,Port Hedland,0,AU,1566684724,76,-20.31,118.58,57.2,4.7
12,Port Elizabeth,1,US,1566684726,49,39.31,-74.98,78.01,10.29
13,Victoria,75,BN,1566684727,88,5.28,115.24,80.6,2.24
14,Butaritari,100,KI,1566684728,70,3.07,172.79,84.62,6.98
15,Arraial do Cabo,75,BR,1566684730,77,-22.97,-42.02,69.8,9.17
16,Albany,75,US,1566684510,53,42.65,-73.75,73.99,6.93
17,Sabang,100,PH,1566684733,95,13.8,121.11,75.99,0.96
18,Airai,0,TL,1566684735,59,-8.93,125.41,65.54,4.21
19,Vanavara,100,RU,1566684736,96,60.35,102.28,48.44,4.34
20,Ushuaia,75,AR,1566684738,61,-54.81,-68.31,46.4,5.82
21,Klaksvik,100,FO,1566684740,93,62.23,-6.59,51.8,20.8
22,Bluff,0,AU,1566684742,82,-23.58,149.07,56.0,4.85
23,Carutapera,37,BR,1566684745,80,-1.2,-46.02,79.04,8.52
24,Berlevag,100,NO,1566684746,67,70.86,29.09,44.12,7.96
25,Georgetown,20,GY,1566684642,70,6.8,-58.16,86.0,10.29
26,Sassandra,100,CI,1566684749,94,4.95,-6.09,72.92,4.05
27,Atuona,4,PF,1566684751,70,-9.8,-139.03,79.22,12.77
28,Barrow,67,AR,1566684753,63,-38.31,-60.23,59.78,9.51
29,Clyde River,97,CA,1566684754,47,70.47,-68.59,51.32,1.74
30,Olinda,20,AU,1566684756,86,-37.84,145.39,48.0,10.29
31,Tynda,41,RU,1566684757,94,55.15,124.74,48.62,0.87
32,Saint George,0,GR,1566684759,53,39.45,22.34,80.6,5.82
33,Kahului,40,US,1566684760,52,20.89,-156.47,89.6,17.22
34,Nantucket,40,US,1566684743,72,41.28,-70.1,69.01,19.46
35,Havoysund,53,NO,1566684763,86,71.0,24.66,39.2,4.7
36,Broome,99,GB,1566684764,87,52.47,1.45,66.2,2.24
37,Salalah,75,OM,1566684766,94,17.01,54.1,78.8,6.93
38,Cap Malheureux,75,MU,1566684767,94,-19.98,57.61,68.0,5.82
39,Jamestown,2,AU,1566684623,94,-33.21,138.6,37.1,3.44
40,Houma,100,CN,1566684769,86,35.63,111.36,68.78,9.17
41,Poum,91,MK,1566684772,85,41.28,20.71,61.04,3.8
42,Avarua,80,CK,1566684773,83,-21.21,-159.78,77.0,11.41
43,Rikitea,73,PF,1566684774,68,-23.12,-134.97,69.5,23.26
44,Pevek,0,RU,1566684776,78,69.7,170.27,42.32,1.12
45,Salaya,100,IN,1566684778,76,22.31,69.6,81.74,13.0
46,Yellowknife,75,CA,1566684505,63,62.45,-114.38,60.8,4.7
47,Nanchang,3,CN,1566684781,90,28.68,115.89,75.44,6.53
48,Saint-Philippe,1,CA,1566684782,60,45.36,-73.48,75.0,7.81
49,Luderitz,0,NA,1566684783,54,-26.65,15.16,71.6,10.22
50,Uniontown,1,US,1566684485,38,39.9,-79.72,75.99,10.29
51,Mahebourg,75,MU,1566684786,94,-20.41,57.7,68.0,5.82
52,Puerto Ayora,20,EC,1566684788,61,-0.74,-90.35,80.6,19.46
53,Kavaratti,100,IN,1566684789,79,10.57,72.64,81.56,16.11
54,East London,0,ZA,1566684791,25,-33.02,27.91,65.54,5.37
55,Sola,100,TZ,1566684792,48,-3.17,33.8,72.92,8.41
56,Tuktoyaktuk,75,CA,1566684794,81,69.44,-133.03,42.8,18.34
57,Oranjemund,0,ZA,1566684795,62,-28.55,16.43,61.04,4.32
58,Grindavik,40,IS,1566684797,93,63.84,-22.43,51.8,6.93
59,Pangnirtung,100,CA,1566684798,51,66.15,-65.72,47.72,5.77
60,Torbay,75,CA,1566684799,76,47.66,-52.73,54.0,17.22
61,Leningradskiy,94,RU,1566684801,86,69.38,178.42,42.68,6.6
62,Khatanga,40,RU,1566684803,96,71.98,102.47,48.8,7.05
63,Vaini,65,IN,1566684804,92,15.34,74.49,75.26,2.28
64,Castro,75,CL,1566684806,81,-42.48,-73.76,50.0,11.41
65,Cape Town,0,ZA,1566684807,87,-33.93,18.42,60.01,12.75
66,Kapaa,40,US,1566684809,66,22.08,-159.32,89.6,12.75
67,Pringsewu,73,ID,1566684810,97,-5.36,104.98,68.24,1.45
68,Jieshi,100,CN,1566684811,93,22.82,115.83,78.14,5.97
69,Rudnaya Pristan,89,RU,1566684813,98,44.36,135.82,51.14,0.92
70,Paamiut,0,GL,1566684814,78,61.99,-49.67,42.32,14.76
71,Constitucion,75,MX,1566684816,31,23.99,-104.67,78.8,9.22
72,Smithers,75,CA,1566684817,82,54.78,-127.17,57.2,4.7
73,Busselton,100,AU,1566684819,66,-33.64,115.35,43.0,11.36
74,Qaanaaq,92,GL,1566684821,66,77.48,-69.36,37.82,16.93
75,Santa Fe,59,AR,1566684822,47,-31.62,-60.7,66.99,1.99
76,High Prairie,100,CA,1566684823,62,55.43,-116.48,64.82,11.1
77,Nemuro,97,JP,1566684824,88,43.32,145.57,60.86,10.49
78,Arlit,100,NE,1566684826,68,18.74,7.39,80.48,21.61
79,Beloha,57,MG,1566684827,73,-25.17,45.06,66.8,16.46
80,Lebu,75,ET,1566684829,87,8.96,38.73,57.2,1.12
81,Tabuk,100,PH,1566684833,93,17.41,121.44,65.36,1.63
82,Samarai,52,PG,1566684835,89,-10.62,150.67,70.04,5.06
83,West Wendover,1,US,1566684647,14,40.74,-114.07,91.4,5.82
84,Santa Maria,0,BR,1566684745,26,-16.02,-48.01,84.2,6.93
85,Ponta do Sol,0,BR,1566684840,42,-20.63,-46.0,66.62,5.41
86,Hobart,40,AU,1566684841,75,-42.88,147.33,46.0,4.7
87,Tiksi,64,RU,1566684842,89,71.64,128.87,47.18,6.96
88,Dingle,100,PH,1566684844,86,11.0,122.67,74.18,3.31
89,Cobija,20,BR,1566684845,44,-11.02,-68.77,95.0,4.7
90,Turukhansk,100,RU,1566684846,90,65.8,87.96,55.28,9.78
91,Rocha,100,UY,1566684848,85,-34.48,-54.34,52.58,7.16
92,Lata,97,IN,1566684849,97,30.78,78.62,44.12,1.34
93,Harer,1,US,1566684851,22,42.19,-111.17,87.01,11.41
94,Bubaque,100,GW,1566684852,83,11.28,-15.83,79.76,16.49
95,Vanimo,100,PG,1566684854,79,-2.67,141.3,80.84,5.21
96,Longyearbyen,75,NO,1566684855,80,78.22,15.63,39.2,8.05
97,Provideniya,26,RU,1566684857,50,64.42,-173.23,52.94,3.65
98,Balaipungut,98,ID,1566684858,98,1.11,101.31,72.56,1.77
99,Sidi Ali,0,DZ,1566684860,85,36.1,0.42,76.16,23.67
100,Macapa,20,BR,1566684862,62,0.05,-51.07,87.8,9.17
101,Rajpur,100,IN,1566684864,81,26.3,79.68,81.92,5.21
102,Dikson,100,RU,1566684865,95,73.51,80.55,41.06,17.16
103,Prince Rupert,90,CA,1566684732,93,54.32,-130.32,57.2,4.7
104,Severo-Kurilsk,100,RU,1566684868,93,50.68,156.12,47.72,31.32
105,Claveria,90,PH,1566684869,90,8.61,124.89,75.0,5.01
106,Bredasdorp,0,ZA,1566684871,93,-34.53,20.04,53.6,2.24
107,Nagyoroszi,0,HU,1566684872,73,48.0,19.09,78.01,8.05
108,Grand Gaube,75,MU,1566684873,94,-20.01,57.66,68.0,5.82
109,Kholtoson,58,RU,1566684724,96,50.3,103.31,42.86,2.35
110,Port Alfred,0,ZA,1566684876,74,-33.59,26.89,63.0,5.01
111,Quiindy,0,PY,1566684878,50,-25.98,-57.23,74.18,6.69
112,Puerto Penasco,20,MX,1566684879,46,31.32,-113.53,93.2,18.34
113,Vao,0,EE,1566684881,93,59.1,26.19,55.1,2.51
114,Sabile,0,LV,1566684882,89,57.05,22.57,55.82,2.3
115,Port Lincoln,71,AU,1566684883,56,-34.72,135.86,52.04,8.97
116,Hithadhoo,100,MV,1566684885,71,-0.6,73.08,82.46,8.23
117,Mushie,81,CD,1566684886,81,-3.02,16.92,74.54,4.16
118,Chuy,95,UY,1566684887,81,-33.69,-53.46,52.76,8.25
119,Langub,40,PH,1566684889,88,7.11,125.56,78.8,4.79
120,Ostersund,100,SE,1566684890,77,63.18,14.64,59.0,9.17
121,Sanguem,65,IN,1566684891,92,15.23,74.14,75.26,2.28
122,Cairns,75,AU,1566684852,82,-16.92,145.77,66.99,8.05
123,Talnakh,75,RU,1566684622,93,69.49,88.39,53.6,6.71
124,Hilo,90,US,1566684817,62,19.71,-155.08,86.0,9.17
125,Denpasar,40,ID,1566684717,94,-8.65,115.22,75.2,8.05
126,Kindu,68,CD,1566684899,47,-2.95,25.92,79.58,2.73
127,Necochea,100,AR,1566684901,67,-38.55,-58.74,54.0,5.99
128,Pajapan,5,MX,1566684902,50,18.26,-94.69,98.6,6.93
129,Aneby,0,SE,1566684904,93,57.84,14.81,51.8,2.95
130,Lazaro Cardenas,40,MX,1566684905,42,28.39,-105.62,84.2,10.29
131,Taunggyi,83,MM,1566684837,97,20.78,97.03,66.44,1.14
132,Utiel,0,ES,1566684908,74,39.57,-1.21,78.8,11.25
133,Cidreira,0,BR,1566684910,71,-30.17,-50.22,57.8,8.52
134,Ribeira Grande,40,PT,1566684911,79,38.52,-28.7,68.96,16.82
135,Katsuura,20,JP,1566684913,94,33.93,134.5,75.0,6.93
136,Carballo,0,ES,1566684915,88,43.21,-8.69,68.0,5.82
137,New Norfolk,40,AU,1566684916,75,-42.78,147.06,46.0,4.7
138,Beba,75,CU,1566684918,74,22.44,-79.73,86.0,3.36
139,Gimbi,75,ET,1566684920,89,8.81,37.79,52.4,1.57
140,Qaqortoq,98,GL,1566684921,29,60.72,-46.03,51.8,18.34
141,Nikolskoye,20,RU,1566684923,87,59.7,30.79,57.99,6.71
142,Kailua,90,US,1566684925,70,21.39,-157.74,89.6,12.75
143,Mar del Plata,100,AR,1566684927,54,-46.43,-67.52,54.02,12.77
144,Zaltan,0,LY,1566684929,71,32.95,11.87,79.04,12.86
145,Kaliua,77,TZ,1566684931,38,-5.06,31.79,73.46,4.38
146,Ust-Kuyga,61,RU,1566684932,82,70.0,135.55,52.94,2.51
147,Buala,100,SB,1566684934,83,-8.15,159.59,79.94,15.12
148,Umuarama,0,BR,1566684936,51,-23.76,-53.31,72.02,4.45
149,Esperance,74,AU,1566684937,86,-33.86,121.89,41.0,8.05
150,Kirakira,100,SB,1566684938,87,-10.46,161.92,77.78,10.92
151,Vredefort,0,ZA,1566684940,27,-27.0,27.37,49.52,5.66
152,Alta Floresta,100,BR,1566684941,42,-9.87,-56.08,84.62,1.88
153,Souillac,0,FR,1566684942,60,45.6,-0.6,77.0,6.93
154,Chokurdakh,100,RU,1566684944,56,70.62,147.9,57.98,7.18
155,Ulaangom,0,MN,1566684946,53,49.98,92.07,51.14,4.16
156,Thompson,90,CA,1566684947,93,55.74,-97.86,66.2,4.7
157,Bilibino,97,RU,1566684949,51,68.06,166.44,56.0,5.55
158,Tautira,20,PF,1566684951,65,-17.73,-149.15,84.0,12.75
159,Eenhana,0,NA,1566684953,15,-17.48,16.34,61.04,7.78
160,Demba,0,CD,1566684954,28,-5.47,22.27,75.8,1.88
161,Meridian,1,US,1566684726,15,43.61,-116.39,93.99,6.93
162,Deputatskiy,0,RU,1566684957,84,69.3,139.9,51.86,5.53
163,Cherskiy,86,RU,1566684959,41,68.75,161.3,61.4,4.5
164,Sur,0,OM,1566684960,56,22.57,59.53,83.18,12.57
165,Harper,40,US,1566684962,52,30.3,-99.24,93.2,13.87
166,Zima,16,RU,1566684964,94,53.93,102.05,47.36,2.42
167,Portland,75,US,1566684936,56,43.66,-70.25,71.01,10.29
168,Pascagoula,1,US,1566684720,66,30.37,-88.56,93.0,11.41
169,Upernavik,100,GL,1566684969,65,72.79,-56.15,43.76,9.93
170,Takapau,100,NZ,1566684971,75,-40.02,176.35,55.0,15.01
171,Fairbanks,1,US,1566684972,76,64.84,-147.72,57.99,4.7
172,Geraldton,75,CA,1566684974,49,49.72,-86.95,68.0,12.75
173,Taft,100,PH,1566684975,98,11.9,125.42,72.74,1.41
174,Zwedru,100,LR,1566684976,96,6.07,-8.13,71.66,3.89
175,Fort Frances,20,CA,1566684978,50,48.61,-93.4,78.01,9.17
176,Medea,20,DZ,1566684782,83,36.27,2.77,77.0,6.93
177,Santa Marta,75,CO,1566684981,70,11.24,-74.21,86.0,16.11
178,Gushikawa,20,JP,1566684982,83,26.35,127.87,84.2,10.29
179,San Patricio,0,PY,1566684983,69,-26.98,-56.83,68.78,5.48
180,Los Llanos de Aridane,0,ES,1566684985,83,28.66,-17.92,75.2,13.87
181,Sagae,75,JP,1566684986,88,38.43,140.23,69.8,3.36
182,Muros,0,ES,1566684987,87,42.77,-9.06,64.99,4.7
183,Quang Ngai,100,VN,1566684780,95,15.12,108.8,70.4,2.08
184,Trapani,0,IT,1566684990,83,38.02,12.54,81.0,4.7
185,Tolaga Bay,0,NZ,1566684991,71,-38.37,178.3,47.54,2.77
186,Faya,77,SA,1566684992,88,18.39,42.45,69.8,13.87
187,Narsaq,98,GL,1566684994,29,60.91,-46.05,51.8,18.34
188,Staryy Nadym,100,RU,1566684995,94,65.61,72.68,45.02,26.33
189,Raudeberg,99,NO,1566684996,82,61.99,5.14,66.99,20.8
190,Luganville,75,VU,1566684998,65,-15.51,167.18,77.0,13.87
191,Chimore,40,BO,1566684999,30,-16.98,-65.13,86.78,2.55
192,Krasnyy Chikoy,100,RU,1566684724,98,50.36,108.75,53.84,2.71
193,Kohlu,0,PK,1566685002,30,29.9,69.25,83.0,5.57
194,Saldanha,100,PT,1566685004,35,41.42,-6.55,76.34,4.5
195,Hermanus,0,ZA,1566685005,73,-34.42,19.24,55.99,5.01
196,Broken Hill,75,AU,1566685006,75,-31.97,141.45,44.6,13.87
197,Fortuna,20,ES,1566685008,83,38.18,-1.13,77.0,1.12
198,Bethel,40,US,1566685010,62,60.79,-161.76,59.0,9.17
199,Mathathane,0,BW,1566685012,54,-22.27,28.75,57.8,7.27
200,Cassilandia,0,BR,1566685013,23,-19.11,-51.73,82.28,7.34
201,Peleduy,65,RU,1566685015,75,59.63,112.75,57.62,10.65
202,Makakilo City,75,US,1566685016,62,21.35,-158.09,89.6,11.41
203,Isangel,90,VU,1566685017,60,-19.55,169.27,71.6,4.7
204,Burnie,0,AU,1566685019,92,-41.05,145.91,37.64,3.78
205,Kodiak,75,US,1566685020,69,39.95,-94.76,75.2,12.75
206,Mezhdurechensk,54,RU,1566685021,98,53.69,88.07,50.06,3.47
207,Catumbela,19,AO,1566685023,92,-12.43,13.55,64.64,2.51
208,Cartagena,20,ES,1566685024,73,37.63,-1.0,77.0,5.82
209,Koindu,100,GN,1566685026,98,8.44,-10.33,70.04,2.89
210,Norman Wells,75,CA,1566685027,76,65.28,-126.83,50.0,11.41
211,Otradnoye,20,RU,1566685029,87,59.77,30.8,57.99,6.71
212,Presidente Medici,96,BR,1566685030,27,-11.18,-61.9,93.98,4.34
213,Dryden,1,CA,1566685031,50,49.79,-92.84,77.0,13.89
214,Lagunas,70,PE,1566685033,61,-5.23,-75.68,86.78,1.54
215,Sokolow Podlaski,0,PL,1566685034,73,52.41,22.25,57.0,5.01
216,Gwanda,0,ZW,1566685036,57,-20.94,29.0,57.26,5.61
217,Saint-Pierre,0,FR,1566685037,64,48.95,4.24,68.0,3.36
218,Half Moon Bay,5,US,1566685038,64,37.46,-122.43,82.99,9.17
219,Vuktyl,95,RU,1566685040,95,63.86,57.31,46.64,4.41
220,Iqaluit,90,CA,1566685041,76,63.75,-68.52,53.6,16.11
221,Locri,5,IT,1566685043,78,38.24,16.26,82.4,2.24
222,Kaitangata,73,NZ,1566685044,63,-46.28,169.85,51.01,4.81
223,Pisco,0,PE,1566685046,30,-13.71,-76.2,71.6,9.17
224,Uruzgan,0,AF,1566685047,24,32.93,66.63,48.8,1.32
225,Moron,67,HT,1566685049,68,18.56,-74.26,83.9,3.58
226,Saint-Augustin,20,CA,1566685050,46,45.63,-73.98,75.0,6.93
227,Vestmanna,100,FO,1566685051,93,62.16,-7.17,51.8,20.8
228,Zaoyang,67,CN,1566685053,77,32.12,112.76,74.9,3.91
229,Ugoofaaru,100,MV,1566685054,76,5.67,73.0,82.1,13.47
230,Comodoro Rivadavia,75,AR,1566685057,54,-45.87,-67.48,59.0,9.17
231,Biu,100,NG,1566685059,87,10.61,12.19,70.76,4.63
232,Saskylakh,11,RU,1566685060,85,71.97,114.09,46.46,3.91
233,Dunedin,100,NZ,1566685061,69,-45.87,170.5,47.18,8.48
234,Ilulissat,5,GL,1566684789,39,69.22,-51.1,48.2,18.34
235,San Cristobal,31,HN,1566685064,36,14.68,-86.92,88.04,10.13
236,Waingapu,30,ID,1566685066,87,-9.65,120.26,66.26,7.16
237,Codrington,0,AU,1566685067,93,-28.95,153.24,60.01,8.05
238,Warri,100,NG,1566684788,91,5.52,5.75,74.9,3.24
239,Adrar,81,DZ,1566685070,11,27.87,-0.29,100.4,6.93
240,Alice Springs,0,AU,1566685071,39,-23.7,133.88,46.4,5.82
241,Coffs Harbour,0,AU,1566684896,55,-30.3,153.13,62.6,6.93
242,Cuyamel,20,HN,1566685075,56,15.66,-88.19,93.2,19.46
243,Marzuq,0,YE,1566685077,42,14.4,46.47,80.66,5.39
244,Port Augusta,90,AU,1566685078,71,-32.49,137.76,50.0,6.93
245,Hamilton,20,CA,1566685079,56,43.26,-79.87,73.0,14.99
246,Areosa,0,PT,1566685081,93,41.72,-8.86,64.99,6.93
247,Vardo,40,US,1566685082,40,39.62,-77.74,75.99,6.93
248,Port Hardy,75,CA,1566685084,82,50.7,-127.42,60.8,4.7
249,Port-Gentil,90,GA,1566684847,88,-0.72,8.78,77.0,6.93
250,Cayenne,0,GF,1566685088,70,4.94,-52.33,84.2,8.05
251,Axim,100,GH,1566685089,91,4.87,-2.24,75.62,12.06
252,Oktyabrskiy,0,RU,1566685091,67,55.61,37.97,64.0,6.71
253,Le Port,0,FR,1566685093,38,42.87,1.37,73.0,5.99
254,Tabas,0,IR,1566685094,15,33.6,56.92,80.6,2.24
255,Lima,90,PE,1566684923,82,-12.06,-77.04,60.8,10.29
256,Ancud,75,CL,1566685097,81,-41.87,-73.83,50.0,11.41
257,Borovoy,100,RU,1566685098,94,63.23,52.89,48.62,4.47
258,Lorengau,21,PG,1566685100,84,-2.02,147.27,80.12,10.27
259,Inta,100,RU,1566685102,92,66.04,60.13,47.18,2.44
260,Kavieng,91,PG,1566685104,76,-2.57,150.8,83.0,14.97
261,Ust-Maya,100,RU,1566685105,97,60.42,134.54,55.64,2.3
262,Greenwood,100,CA,1566685107,38,49.09,-118.68,78.01,4.0
263,Hualmay,11,PE,1566685108,90,-11.1,-77.61,58.88,12.57
264,Riyadh,0,SA,1566685111,18,24.63,46.72,89.6,5.82
265,Thinadhoo,100,MV,1566685113,69,0.53,72.93,82.82,7.11
266,Touros,75,BR,1566685115,88,-5.2,-35.46,75.2,8.05
267,Murray Bridge,78,AU,1566685118,88,-35.12,139.28,45.0,3.0
268,Santa Rosalia,1,MX,1566685119,34,31.87,-112.87,97.0,1.01
269,Gouloure,20,BF,1566685120,94,12.23,-1.93,77.0,6.93
270,Okhotsk,100,RU,1566685122,91,59.36,143.24,54.56,2.68
271,Sao Filipe,57,CV,1566685124,86,14.9,-24.5,78.5,11.52
272,Lagedi,0,EE,1566685125,93,59.4,24.94,55.4,2.24
273,Te Anau,50,NZ,1566685127,78,-45.41,167.72,45.38,9.13
274,Bambanglipuro,92,ID,1566685128,86,-7.95,110.28,73.46,6.24
275,Salto,0,BR,1566685130,55,-23.2,-47.29,64.4,18.34
276,Inuvik,90,CA,1566685131,62,68.36,-133.71,48.2,10.29
277,Mackay,90,CA,1566685132,87,53.65,-115.58,66.2,10.29
278,Shache,94,CN,1566685134,51,38.42,77.24,75.99,7.18
279,Bambous Virieux,75,MU,1566685135,94,-20.34,57.76,68.0,10.29
280,Koudougou,100,BF,1566685137,83,12.25,-2.37,75.44,10.45
281,Dalvik,0,SE,1566685139,93,57.79,14.13,54.0,1.5
