,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
282,Guerrero Negro,7,MX,1566685140,74,27.97,-114.04,76.34,6.55
283,Tura,71,RU,1566685142,81,64.27,100.22,49.52,3.2
284,Zaigrayevo,75,RU,1566685143,87,51.83,108.27,59.0,2.24
285,Carnarvon,0,ZA,1566685145,20,-30.97,22.13,60.5,10.25
286,Chicama,0,PE,1566685146,77,-7.84,-79.15,66.2,9.17
287,Karratha,0,AU,1566685148,45,-20.74,116.85,62.48,7.09
288,Aloleng,100,PH,1566685150,79,16.13,119.78,83.54,18.43
289,Lasa,20,CY,1566685151,94,34.92,32.53,80.6,5.82
290,Zyryanka,83,RU,1566685152,66,65.73,150.89,64.1,8.01
291,Rodrigues Alves,75,BR,1566685154,83,-7.74,-72.65,78.8,3.36
292,Puerto Cabello,8,VE,1566685155,50,10.47,-68.01,89.66,8.14
293,Zapresic,100,HR,1566685157,93,45.86,15.81,71.01,3.36
294,Santa Rosa,23,AR,1566685158,42,-36.62,-64.29,70.04,8.75
295,Haines Junction,100,CA,1566685160,93,60.75,-137.51,40.52,4.61
296,San Andres,100,PH,1566685161,85,13.32,122.68,79.22,9.48
297,Lagos,20,NG,1566685121,88,6.46,3.39,77.0,5.82
298,Atar,1,MR,1566685164,31,20.52,-13.05,94.7,12.39
299,Margate,40,AU,1566685166,75,-43.03,147.26,46.0,4.7
300,Marrakesh,40,MA,1566685167,19,31.63,-7.99,95.0,9.17
301,Boende,81,CD,1566685169,92,-0.28,20.88,72.2,3.6
302,Poronaysk,96,RU,1566685171,91,49.22,143.1,50.42,3.42
303,Senno,58,RU,1566685173,82,57.76,27.95,57.2,4.47
304,Belyy Yar,40,RU,1566685175,93,53.6,91.39,55.4,8.95
305,Yarmouth,20,CA,1566685158,53,43.84,-66.12,72.0,17.22
306,Dromolaxia,20,CY,1566685178,88,34.88,33.59,86.0,3.36
307,Nanakuli,90,US,1566685180,66,21.39,-158.15,88.0,11.41
308,Umm Kaddadah,0,SD,1566685182,46,13.6,26.69,84.98,8.63
309,Amapa,20,HN,1566685161,56,15.09,-87.97,93.2,19.46
310,Mungaoli,100,IN,1566685185,86,24.41,78.09,77.78,1.79
311,Tessalit,64,ML,1566685186,40,20.2,1.01,90.56,8.84
312,Sao Joao da Barra,0,BR,1566685188,88,-21.64,-41.05,68.0,6.31
313,Chapais,1,CA,1566685189,37,49.78,-74.86,71.6,4.7
314,Nadym,100,RU,1566685191,92,65.53,72.51,46.28,29.91
315,Kichera,97,RU,1566685193,92,55.93,110.1,51.5,0.56
316,Lompoc,1,US,1566684909,64,34.64,-120.46,82.0,14.99
317,Poddorye,94,RU,1566685197,88,57.47,31.12,54.02,3.74
318,Husavik,100,CA,1566685198,36,50.56,-96.99,82.99,14.0
319,Chaihe,2,CN,1566685201,96,44.77,129.68,51.14,1.92
320,Honiara,75,SB,1566685202,100,-9.43,159.96,75.2,6.93
321,Harnosand,100,SE,1566685205,87,62.63,17.94,59.0,2.24
322,Melito di Porto Salvo,0,IT,1566685206,65,37.92,15.77,82.4,4.7
323,Rio Grande,0,BR,1566685208,82,-32.03,-52.1,57.2,9.17
324,Port Blair,100,IN,1566685210,81,11.67,92.75,81.38,23.44
325,Ngorongoro,70,TZ,1566685212,79,-3.24,35.49,63.2,19.3
326,Atasu,0,KZ,1566685213,47,48.68,71.64,61.58,2.21
327,Pacific Grove,1,US,1566685215,60,36.62,-121.92,91.0,10.29
328,Tadine,80,NC,1566685216,66,-21.55,167.88,68.24,17.43
329,Bakchar,44,RU,1566685191,96,57.02,82.07,55.46,5.12
330,Praia,0,BR,1566685219,56,-20.25,-43.81,69.8,12.75
331,Meulaboh,100,ID,1566685221,89,4.14,96.13,75.44,11.32
332,Ahipara,100,NZ,1566685222,100,-35.17,173.16,59.0,20.65
333,Kilimatinde,1,TZ,1566685224,76,-5.75,34.82,62.66,9.62
334,Pedasi,100,PA,1566685226,70,7.53,-80.03,83.54,7.56
335,Namibe,44,AO,1566685228,88,-15.19,12.15,67.52,7.99
336,Esqueda,80,MX,1566685230,63,30.72,-109.59,74.9,7.54
337,Lapua,0,FI,1566685233,93,62.97,23.01,48.2,3.36
338,Dali,10,CN,1566685234,74,34.79,109.94,72.74,7.9
339,Jaguaruana,20,BR,1566685236,70,-4.83,-37.78,84.2,12.75
340,Wakkanai,100,JP,1566685238,86,45.41,141.67,60.32,12.1
341,Mucuri,69,BR,1566685239,77,-18.08,-39.55,71.66,6.11
342,Ixtapa,75,MX,1566685241,63,20.71,-105.21,93.2,4.7
343,Marienburg,0,DE,1566685242,64,52.12,9.98,71.6,4.7
344,Caceres,0,CO,1566685244,32,5.53,-74.53,87.86,6.24
345,Fort Nelson,40,CA,1566685245,49,58.81,-122.69,68.0,3.36
346,Yining,15,CN,1566685246,94,29.04,114.56,73.1,2.82
347,Susanville,1,US,1566684973,19,40.42,-120.65,91.4,16.11
348,Tuatapere,90,NZ,1566685249,93,-46.13,167.69,48.0,8.01
349,Galle,100,GN,1566685251,98,10.08,-12.83,70.04,3.24
350,Puerto Escondido,40,MX,1566685253,70,15.86,-97.07,87.8,6.93
351,Fuzhou,75,CN,1566685255,78,26.08,119.3,82.4,6.71
352,Sembakung,96,ID,1566685256,98,3.82,117.25,72.56,1.12
353,Luwuk,100,ID,1566685258,98,-0.95,122.79,63.38,4.25
354,Palmer,20,AU,1566685120,87,-34.85,139.16,45.0,3.36
355,Aquin,60,HT,1566685262,69,18.28,-73.39,84.8,4.72
356,Challans,0,FR,1566685263,77,46.85,-1.88,68.0,7.7
357,Kjollefjord,86,NO,1566685265,64,70.95,27.35,44.3,6.89
358,Sorland,75,NO,1566685267,87,67.67,12.69,53.6,11.41
359,Monte Patria,0,CL,1566685269,18,-30.69,-70.96,75.44,7.0
360,Gornyak,0,KZ,1566685271,55,51.0,81.46,60.68,5.12
361,Kargil,0,PK,1566685273,71,34.56,76.13,47.18,9.98
362,Kashirskoye,0,RU,1566685274,71,51.42,39.61,53.6,4.47
363,Hofn,79,IS,1566685276,80,64.25,-15.21,40.7,16.11
364,La Paz,20,MX,1566685278,34,24.15,-110.32,95.0,16.11
365,Nishihara,1,JP,1566685279,78,35.74,139.53,77.0,4.7
366,Juneau,75,US,1566685281,77,58.3,-134.42,60.8,3.36
367,Yar-Sale,100,RU,1566685283,76,66.83,70.83,47.18,20.33
368,Yasugi,20,JP,1566685284,83,35.43,133.25,75.2,4.7
369,Cranbrook,75,CA,1566685286,27,49.51,-115.76,77.0,6.93
370,Newport,20,US,1566685203,56,41.49,-71.31,73.0,13.87
371,Shenjiamen,66,CN,1566685290,87,29.96,122.3,82.64,13.96
372,Sturgeon Bay,40,US,1566685292,56,44.83,-87.38,73.99,4.7
373,Hami,100,CN,1566685294,27,42.84,93.51,75.62,20.96
374,Kutum,12,SD,1566685295,56,14.2,24.66,77.24,7.43
375,Constantine,20,DZ,1566685172,82,36.36,6.61,68.0,2.66
376,Zaysan,0,KZ,1566685298,61,47.47,84.87,53.3,6.64
377,Butterworth,75,MY,1566685300,83,5.4,100.37,78.8,2.1
378,Lagoa,0,PT,1566685301,78,37.14,-8.45,77.0,6.93
379,The Valley,40,AI,1566685092,74,18.22,-63.06,87.8,13.87
380,Oistins,40,BB,1566685304,70,13.07,-59.53,84.2,17.22
381,Puerto Carreno,75,CO,1566685306,88,6.19,-67.49,75.2,0.92
382,Cheremshanka,100,RU,1566685308,85,47.9,142.19,55.1,13.49
383,Sharjah,0,AE,1566685310,39,25.36,55.39,95.0,4.7
384,Guangzhou,20,CN,1566685312,74,23.13,113.26,88.0,4.47
385,Gwadar,0,PK,1566685314,80,25.12,62.33,81.92,7.4
386,Aklavik,90,CA,1566685316,65,68.22,-135.01,48.2,11.41
387,Corn Island,100,NI,1566685319,76,12.17,-83.04,83.18,8.79
388,Quelimane,20,MZ,1566685320,83,-17.88,36.89,73.4,2.24
389,Tuchola,0,PL,1566685322,59,53.59,17.86,70.0,4.7
390,Serenje,1,ZM,1566685324,75,-13.23,30.22,54.2,8.05
391,Orotukan,0,RU,1566685326,67,62.26,151.67,55.1,6.2
392,Correntina,88,BR,1566685327,33,-13.34,-44.63,80.3,6.78
393,Pimentel,14,BR,1566685329,51,-3.7,-45.5,83.9,1.95
394,Tysmenychany,0,UA,1566685331,93,48.77,24.66,72.0,2.24
395,Boysun,0,UZ,1566685333,45,38.2,67.2,49.88,4.03
396,Lampa,75,CL,1566685334,35,-33.29,-70.87,69.8,9.17
397,Alyangula,35,AU,1566685335,100,-13.85,136.42,59.0,3.36
398,Gela,0,IT,1566685337,69,37.07,14.25,73.4,3.36
399,Punta de Bombon,46,PE,1566685338,72,-17.17,-71.79,59.78,6.17
400,Nouakchott,75,MR,1566685339,78,18.08,-15.98,82.4,10.29
401,Caravelas,73,BR,1566685085,78,-17.73,-39.27,73.1,8.28
402,High Level,75,CA,1566685342,45,58.52,-117.13,68.0,8.05
403,Mount Gambier,40,AU,1566685345,93,-37.83,140.78,39.2,5.82
404,Fairview,40,CA,1566685088,46,56.07,-118.38,69.8,14.99
405,Tigil,100,RU,1566685349,75,57.8,158.67,54.38,1.01
406,Kenora,19,CA,1566685351,69,49.76,-94.48,78.8,13.87
407,Wagar,91,US,1566685352,69,31.44,-87.99,93.0,2.46
408,Luba,100,PH,1566685354,91,17.32,120.7,73.28,3.78
409,Valley City,90,US,1566685279,78,46.92,-98.0,78.8,19.46
410,Vila do Maio,60,CV,1566685357,88,15.13,-23.22,76.34,8.88
411,Tevriz,0,RU,1566685359,91,57.51,72.4,51.86,6.49
412,Buin,40,CL,1566685360,52,-33.73,-70.74,69.8,4.7
413,Mae Hong Son,97,MM,1566685362,99,19.3,97.96,69.68,1.83
414,Lahij,20,YE,1566685142,36,13.06,44.88,93.44,2.42
415,Kaohsiung,90,TW,1566685365,94,22.62,120.31,78.8,20.8
416,Labuhan,100,ID,1566685367,88,-2.54,115.51,75.26,1.01
417,Basco,1,US,1566685369,53,40.33,-91.2,75.99,8.05
418,Groton,40,US,1566685096,60,42.61,-71.57,72.0,6.93
419,Otane,0,NZ,1566685372,74,-39.89,176.62,55.0,13.0
420,Alofi,61,NU,1566685373,78,-19.06,-169.92,80.6,8.05
421,Don Benito,0,ES,1566685375,33,38.95,-5.86,82.0,7.0
422,Mahajanga,0,MG,1566685376,68,-15.72,46.32,69.8,3.36
423,Sladkovo,0,RU,1566685377,93,55.53,70.34,52.58,6.24
424,Tamandare,72,BR,1566685379,39,-8.28,-70.75,90.02,1.48
425,Taber,75,CA,1566685381,31,49.79,-112.14,80.01,13.87
426,San Juan,0,AR,1566685116,30,-31.54,-68.53,59.24,7.23
427,Praya,40,ID,1566685383,88,-8.71,116.27,75.2,8.05
428,Sao Jose da Coroa Grande,14,BR,1566685385,93,-8.9,-35.15,70.22,4.92
429,Komsomolskiy,35,RU,1566685386,95,67.55,63.78,35.84,6.87
430,Aksarka,100,RU,1566685387,71,66.56,67.8,44.48,15.64
431,Copenhagen,0,DK,1566685366,87,55.69,12.57,64.0,3.36
432,Ajdabiya,0,LY,1566685390,71,30.75,20.22,80.48,19.57
433,Salta,0,AR,1566685218,40,-24.79,-65.41,69.8,8.05
434,Bukama,0,CD,1566685393,32,-9.2,25.85,70.76,0.63
435,Voznesenye,0,RU,1566685394,98,61.02,35.48,51.68,5.23
436,Chake Chake,0,TZ,1566685396,81,-5.25,39.77,76.88,13.53
437,Kamariotissa,0,GR,1566685398,65,40.48,25.47,77.0,12.75
438,Sidlaghatta,40,IN,1566685399,100,13.39,77.86,68.0,12.75
439,Catuday,100,PH,1566685401,79,16.29,119.81,83.54,18.75
440,Ambon,40,FR,1566685403,100,47.55,-2.56,68.0,4.7
441,Caernarfon,80,GB,1566685405,72,53.14,-4.27,70.0,1.12
442,Kikwit,3,CD,1566685407,28,-5.04,18.82,82.82,2.48
443,Nagai,95,JP,1566685409,78,38.14,139.98,71.01,5.7
444,Sochi,75,RU,1566685411,78,43.6,39.73,71.6,11.18
445,Bati,1,ET,1566685412,74,11.19,40.02,66.62,5.39
446,Volterra,40,IT,1566685414,53,43.4,10.86,79.0,4.7
447,Dharchula,54,IN,1566685416,89,29.85,80.53,51.68,1.14
448,Garowe,14,SO,1566685418,59,8.41,48.48,79.58,27.74
449,Palu,100,ID,1566685420,90,-0.9,119.87,74.18,2.77
450,Nelson Bay,0,AU,1566685421,76,-32.72,152.14,62.01,6.93
451,Penzance,100,GB,1566685423,100,50.12,-5.53,62.01,5.82
452,Denia,0,ES,1566685426,86,38.84,0.11,77.0,1.01
453,Hasaki,75,JP,1566685428,88,35.73,140.83,72.0,9.17
454,Ulaanbaatar,40,MN,1566685430,93,47.92,106.92,55.4,4.47
455,Walvis Bay,0,NA,1566685431,12,-22.95,14.51,111.2,17.22
456,Rundu,0,NA,1566685434,17,-17.91,19.77,62.6,3.36
457,Sorong,100,ID,1566685435,90,-0.86,131.25,74.0,7.56
458,Batagay-Alyta,77,RU,1566685437,79,67.8,130.41,47.18,1.25
459,Taos,20,US,1566685438,15,36.41,-105.57,87.8,10.29
460,Suntar,100,RU,1566685441,98,62.16,117.65,49.88,2.93
461,Wodonga,26,AU,1566685205,81,-36.12,146.89,45.0,5.82
462,Mayo,40,CA,1566685444,44,63.59,-135.9,59.0,6.93
463,Saint-Ambroise,5,CA,1566685446,46,48.56,-71.32,71.6,4.7
464,Mana,98,NG,1566685447,76,13.03,5.27,78.68,16.37
465,Two Hills,65,CA,1566685449,64,53.71,-111.75,66.8,1.95
466,Gubkinskiy,48,RU,1566685450,95,64.43,76.5,50.06,3.31
467,Kloulklubed,90,PW,1566685452,88,7.04,134.26,77.0,10.29
468,Ploemeur,46,FR,1566685453,93,47.73,-3.43,64.99,4.7
469,Faanui,79,PF,1566685382,67,-16.48,-151.75,77.96,7.25
470,Banda Aceh,100,ID,1566685456,88,5.56,95.32,78.14,27.16
471,Bowen,90,AU,1566685457,88,-20.01,148.25,68.0,3.36
472,Iquique,75,CL,1566685459,67,-20.22,-70.14,60.8,10.29
473,Nizhniy Kuranakh,100,RU,1566685461,94,58.84,125.49,54.38,1.25
474,Key West,1,US,1566685432,44,47.93,-96.78,82.4,24.16
475,Gamba,67,CN,1566685464,72,28.28,88.52,41.06,5.06
476,Perth,0,AU,1566685248,76,-31.95,115.86,50.0,5.82
477,Ojinaga,1,US,1566685468,25,29.56,-104.41,98.6,6.93
478,Ketchikan,90,US,1566685253,87,55.34,-131.65,64.4,11.41
479,Ginda,98,IN,1566685472,94,30.69,78.49,59.6,2.44
480,Cubuk,0,TR,1566685473,45,40.24,33.03,72.0,3.36
481,College,1,US,1566685475,71,64.86,-147.8,59.0,4.7
482,Talakag,90,PH,1566685476,89,8.23,124.6,75.99,5.01
483,Khandagayty,69,MN,1566685478,82,50.73,92.07,38.18,2.1
484,Svetlogorsk,20,RU,1566685480,93,53.14,59.15,48.2,11.18
485,Hit,72,IQ,1566685481,18,33.64,42.83,90.74,5.35
486,Yumen,100,CN,1566685482,22,40.29,97.04,74.72,24.54
487,Kem,98,UG,1566685484,87,2.68,33.77,67.34,2.75
488,Aksu,0,KZ,1566685485,67,52.04,76.93,62.6,6.71
489,Sabaudia,0,IT,1566685488,57,41.3,13.03,77.0,3.36
490,Kirkland Lake,1,CA,1566685489,46,48.15,-80.03,71.6,4.7
491,Dvinskoy,100,RU,1566685491,96,62.16,45.12,50.78,8.39
492,Khor,100,RU,1566685493,94,47.88,134.96,54.74,3.62
493,Lavrentiya,100,RU,1566685494,62,65.58,-170.99,52.58,4.14
494,Mumbwa,49,ZM,1566685495,45,-14.99,27.06,56.54,5.26
495,Elin Pelin,0,BG,1566685497,56,42.67,23.6,71.6,8.05
496,Laguna,40,BZ,1566685498,70,16.17,-88.94,89.6,6.93
497,Promyshlennyy,0,RU,1566685500,96,67.58,63.92,34.94,5.5
498,Sisimiut,0,GL,1566685501,81,66.94,-53.67,43.04,19.17
499,Beira,0,ES,1566685502,88,43.2,-8.36,66.99,5.82
500,Anloga,20,GH,1566685504,88,5.79,0.9,77.0,13.87
501,Byron Bay,0,AU,1566685506,82,-28.65,153.62,66.0,2.53
502,Santa Cruz,32,BR,1566685345,64,-6.22,-36.02,75.98,16.51
503,Yulara,0,AU,1566685508,65,-25.24,130.99,46.4,4.7
504,Yuxia,90,CN,1566685510,100,34.06,108.63,73.4,4.47
505,Poltavka,100,RU,1566685512,86,54.36,71.76,55.28,5.84
506,Copacabana,53,BO,1566685513,47,-16.17,-69.08,50.96,9.4
507,Xinxiang,95,CN,1566685515,72,35.3,113.88,68.24,0.4
508,Nome,40,US,1566685516,66,30.04,-94.42,91.4,5.82
509,Pilar,0,AR,1566685518,71,-34.46,-58.91,60.01,5.82
510,Aleksandrovskoye,20,RU,1566685520,93,56.74,85.39,60.01,8.95
511,Manzil Salim,40,TN,1566685521,83,35.86,8.48,69.8,4.7
512,Gigmoto,100,PH,1566685523,79,13.78,124.39,82.1,10.74
513,Damghan,0,IR,1566685524,42,36.17,54.34,53.84,0.29
514,Berdigestyakh,67,RU,1566685385,87,62.1,126.7,51.5,1.41
515,Lithakia,0,GR,1566685528,60,37.72,20.83,86.0,7.29
516,Flinders,0,AU,1566685529,43,-34.58,150.85,61.0,1.12
517,Menongue,99,AO,1566685531,30,-14.66,17.68,55.28,5.48
518,Apastovo,0,RU,1566685533,76,55.2,48.51,55.4,6.71
519,Timbuktu,91,ML,1566685535,44,16.77,-3.01,91.1,12.39
520,Tual,100,ID,1566685536,81,-5.67,132.75,75.8,14.5
521,Flin Flon,90,CA,1566685537,88,54.77,-101.88,66.2,6.93
522,Egvekinot,17,RU,1566685539,56,66.32,-179.17,55.1,4.59
523,Omaruru,0,NA,1566685540,32,-21.42,15.95,58.34,3.33
524,Chiredzi,0,ZW,1566685542,61,-21.05,31.67,65.0,4.79
525,Kingsville,1,US,1566685544,63,27.52,-97.86,95.0,18.34
526,Bhadrachalam,100,IN,1566685545,80,17.67,80.89,75.08,4.7
527,Beringovskiy,38,RU,1566685546,67,63.05,179.32,57.44,6.26
528,Dwarka,40,IN,1566685548,88,28.58,77.04,80.6,3.36
529,Tibati,94,CM,1566685550,96,6.47,12.63,64.64,2.26
530,Nanortalik,100,GL,1566685551,72,60.14,-45.24,44.66,10.38
531,Tuy Hoa,99,VN,1566685552,83,13.08,109.3,74.9,5.46
532,Hambantota,90,LK,1566685554,100,6.12,81.12,77.0,5.82
533,Ostrovnoy,100,RU,1566685555,95,68.05,39.51,44.12,9.04
534,Tera,20,CY,1566685557,94,34.97,32.42,80.6,5.82
535,Dicabisagan,100,PH,1566685559,82,17.08,122.42,75.44,2.51
536,Rio Branco,75,BR,1566685561,41,-9.98,-67.82,91.4,1.12
537,Bereda,0,ES,1566685562,88,43.27,-7.54,66.99,5.82
538,Road Town,40,VG,1566685317,74,18.42,-64.62,86.0,9.17
539,Hirara,75,JP,1566685565,83,24.8,125.28,82.4,14.99
540,Coari,59,BR,1566685567,49,-4.09,-63.14,91.46,1.5
541,Yatou,40,CM,1566685568,100,3.63,9.81,73.4,3.36
542,Eureka,1,US,1566685570,68,40.8,-124.16,69.8,8.05
543,Makaha,90,US,1566685571,66,21.47,-158.22,88.0,11.41
544,Garh Maharaja,0,PK,1566685573,26,30.83,71.9,95.42,11.07
545,Martapura,20,ID,1566685574,88,-3.41,114.85,77.0,2.24
546,Pestovo,0,RU,1566685575,72,55.36,37.98,64.0,8.95
547,Sonoita,1,US,1566685577,37,31.68,-110.66,96.01,9.17
548,Korem,100,ET,1566685578,89,12.51,39.52,55.82,8.9
549,Tomatlan,12,MX,1566685580,64,19.93,-105.25,88.76,21.16
550,Sulangan,100,PH,1566685583,74,11.14,123.72,80.84,4.0
551,Calama,0,CL,1566685584,7,-22.46,-68.93,69.8,19.46
552,Waipawa,0,NZ,1566685586,74,-39.94,176.59,55.0,13.0
553,Pangody,100,RU,1566685588,91,65.85,74.49,48.98,23.98
554,Kununurra,99,AU,1566685590,71,-15.77,128.74,51.8,3.4
555,Hailar,0,CN,1566685592,90,49.2,119.7,53.48,4.12
556,Champerico,75,MX,1566685594,58,16.38,-93.6,87.8,14.99
557,Arman,100,RU,1566685595,95,59.7,150.17,50.6,3.42
558,Changji,16,CN,1566685597,80,32.07,116.17,72.38,5.32
559,Namatanai,93,PG,1566685598,83,-3.66,152.44,79.22,12.03
560,Ukiah,1,US,1566685484,28,39.15,-123.21,93.99,11.41
561,Monroe,40,US,1566685601,46,41.91,-83.4,73.99,8.05
562,San Quintin,100,PH,1566685602,91,17.54,120.52,73.28,3.78
563,Sibu,75,MY,1566685604,94,2.29,111.83,75.2,4.7
564,Popondetta,76,PG,1566685605,88,-8.77,148.24,61.58,4.5
565,Si Bun Ruang,96,TH,1566685606,93,16.97,102.28,73.64,3.2
566,Boddam,89,GB,1566685608,87,57.47,-1.78,61.0,4.7
